SizeRank,City,State,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
0,New York,NY,130287,130986,131695,133068,134445,135927,137481,138929,140270,141745,143513,145265,146922,148430,150050,151660,153163,154634,156014,157457,158671,159947,161373,163041,164821,166144,166320,165957,165727,166563,167750,169355,170993,172692,174045,175308,176522,178078,180028,182324,184667,187289,189602,191684,193229,194823,196460,198125,199962,201792,203604,205213,207070,209097,211509,213782,216495,219530,222986,226306,229051,231613,234561,238021,241625,244504,247858,251414,255401,259455,262993,266947,270400,273882,276234,277973,279895,281998,283851,285579,286533,286177,284007,282284,281471,281611,283165,284284,285671,284782,283898,283059,282548,282877,283166,283593,283818,283722,283152,282051,280258,278342,276097,273993,271933,270147,268446,266336,263963,261296,259145,257069,255262,253263,251136,248895,247025,245582,245012,244536,244389,244342,243972,243656,243471,244167,245220,245880,246527,246854,246835,246095,245542,245225,245794,246082,246292,245905,245409,245003,244639,244240,243845,243657,243515,243588,244055,245280,247218,249290,251418,253225,255154,255842,255820,254961,255008,255598,256444,257260,258364,260481,263208,266047,269212,271737,273530,273964,274487,275666,277617,280290,283334,286033,288269,289763,292006,294017,296317,297572,298813,299964,301513,303408,305704,307994,310654,314032,318348,322049,324751,327130,329388,331846,333923,336493,339276,342222,344987,347406,349538,351268,353355,356347,359420,362850,365788,369717,372731,375666,378062,381255,383929,0,0,0,0,452064,460153,466436,472477,477270,481870,486089,491002,493896,494922,493763,494902,499100,504732,509836,513640,518365,523434,527876,530393,531160,533043,534827,536952,537182,537583,538310,540181,541223,541801,541833,544042,546777,549712,551999,554083,557459,561774,565649,570013,573658,578243,582039,586254,591643,597345,601604,604920,609024,616658,624591,632503,639719,644183,645330,642250,639868,636974,632470,629516
1,Los Angeles,CA,205857,206148,207040,208814,211046,213210,215431,217742,219917,221698,223326,224861,225902,226886,228242,230417,232773,235095,237489,239925,242146,244316,246321,248368,249902,251584,253810,256949,260597,264291,268727,273454,278450,283027,287512,291797,295278,298357,301925,305912,310747,314959,320334,326064,332406,337636,342510,347462,353070,359054,365480,373424,383180,393236,402572,411017,420239,429314,436290,441920,446111,451986,458059,464955,471123,478048,485840,494449,503218,512843,520696,527367,532974,537818,542795,546700,551596,555787,558749,560680,560008,559518,559279,560526,561324,561352,560231,559451,557410,554930,550760,546179,541234,535446,529860,524111,519714,514431,506293,494744,481096,467866,454526,442283,432392,423989,416050,406136,398037,392212,388822,385578,382382,378128,374320,371705,370612,370340,371282,374290,376234,376252,376663,378075,380998,380643,379010,375162,371129,367046,363289,361527,360529,360618,359519,358368,355016,353511,352087,350049,346366,342325,340695,340073,339799,338563,336275,333915,332687,333201,335146,339608,345980,353814,361650,369418,375054,378173,379018,381041,385568,392357,400023,408535,417863,427569,435598,442043,445042,446183,445874,447205,449332,451840,454267,457951,463689,470533,477311,483298,487102,489161,489175,489175,489778,491381,491271,489211,485447,482472,479369,476838,479073,487267,498142,507485,513929,519958,519397,514144,505620,501284,501014,503669,511108,521596,533391,542764,549665,555718,556463,555031,552111,553483,555953,559380,567329,580335,596394,610065,620382,627068,633483,641654,652274,662658,670195,674196,671888,664532,655458,648563,644473,642097,643597,649269,657724,666226,674105,681662,686626,689454,690972,692000,690312,685906,685413,691380,704435,719556,736020,751574,760470,764861,766127,772458,782463,795018,809639,822222,833235,841625,850191,859546,869390,879533,890410,899748,908394,913205,915884,913542,909121,904309,901908,898585,890194
2,Houston,TX,95018,94992,94860,94818,94800,94959,95156,95458,95848,96153,96640,97160,97462,97491,97169,96997,96968,97101,97258,97265,97380,97587,97847,98068,98203,98343,98661,99157,99697,100154,100600,101108,101589,101937,102220,102432,102683,102842,103082,103287,103511,103679,103844,104063,104217,104386,104519,104735,105042,105735,107009,108193,109367,109824,110517,110982,111643,112214,112775,113433,114043,114613,115010,115341,115479,115597,115618,115581,115487,115335,115413,115467,115559,115427,115405,115487,115915,116341,116811,117191,117675,118239,118732,119205,119442,119371,119089,119061,119309,119765,120045,120362,120622,120880,121081,121255,120973,120474,119891,119595,119245,118850,118489,118017,117376,116741,115978,115165,114310,113959,113813,113856,113955,114249,114641,114825,114745,114404,114260,114286,114208,114086,114124,114424,114721,114673,114108,113080,112103,111319,110855,110460,110029,109540,108801,108162,107623,107294,107136,107083,106978,106798,106149,105556,105224,105347,105485,105513,105529,105800,106236,106677,106988,107121,107243,107320,107527,107925,108654,109516,110648,111984,113443,114850,115992,117216,118406,119691,120953,122260,123647,124997,126392,127688,129126,130516,131760,132748,133898,135293,136988,138656,140280,141646,142838,143983,145151,146291,147275,148194,149088,150131,151291,152482,153297,154031,154646,155355,155834,156311,156931,157702,158623,159477,160200,160705,161321,162088,162775,163396,163820,164300,164760,165420,166165,166847,167422,167930,168686,169518,170463,171311,172241,173066,173911,174762,175741,176773,177816,178837,179792,180473,180982,181338,181669,182061,182555,183246,184135,185076,186002,186809,187573,188120,188247,188317,188698,189675,191141,193008,195381,197761,200211,202629,205396,208312,211579,215050,218094,220222,221672,223388,225802,228648,232656,237414,242709,247356,251261,254553,256833,257899,258099,258069,258056,257327,255921
3,Chicago,IL,120726,120760,121067,121846,122888,124015,125065,126323,127658,129157,130801,132370,133725,134610,135515,136513,137671,138803,139804,141057,142465,144092,145602,146849,147946,148843,149859,150749,151673,152446,153360,154600,156153,157772,159116,160426,161642,162828,163823,164965,165903,166873,167643,168810,170184,171855,173480,175066,176648,177938,179040,180311,181900,183727,185374,187075,188714,190517,192484,194558,196490,198200,199798,201467,203274,205166,206990,208844,210957,213081,215284,217416,219510,221409,223167,224673,225919,226594,227120,227411,227610,227569,227680,228103,229014,230051,230872,231207,231103,230837,230372,229954,229190,228471,227678,226650,225896,223613,223323,221247,221169,218681,217772,214951,212825,209219,206155,202251,198028,194607,191119,189453,187229,186042,184495,183268,180835,178498,175970,175072,173820,173456,171887,172175,171512,172062,170059,168531,166103,164277,161921,159545,157537,155653,154529,153168,152546,151415,151025,150246,149515,147572,146039,143756,142400,140706,139606,138289,137372,137353,138329,139447,140323,140306,139891,140009,141095,142754,144281,146419,148540,151232,153316,155662,157974,160790,163628,166292,168117,169633,170962,172133,173341,174488,176069,177595,179105,180708,182243,183484,184093,184357,184960,185662,186978,187986,189125,189896,190844,192150,193647,195092,196426,198026,199299,200863,202303,203728,204418,204816,205327,206413,207612,209168,210361,211739,213172,214248,214977,214845,215007,215057,215881,217023,218472,219998,221767,223667,226151,228159,229253,228574,227332,226205,225606,225370,225267,225649,226547,228235,229627,230579,230519,230330,229777,229439,228877,228948,229417,230377,232354,234879,237778,239365,239655,238898,237948,237951,239372,241738,244642,247385,250297,253605,257008,259724,261365,262479,265030,268017,270748,272298,273736,275925,277920,280287,282871,285561,286410,286004,284177,281938,279279,277176,276207,275203,276299
4,San Antonio,TX,94902,94991,95059,95182,94744,94144,93491,93380,93403,93457,93462,93449,93325,93104,92831,92609,92509,92478,92497,92526,92503,92478,92394,92328,92228,92201,92281,92540,92868,93213,93528,93879,94234,94587,94993,95324,95492,95456,95372,95415,95637,95979,96368,96743,97101,97357,97419,97523,98056,99172,100280,101434,102298,103241,104010,104597,105380,106009,106774,107243,107588,107889,108206,108613,109009,109327,109540,109698,109919,110362,110749,111141,111340,111616,111887,112250,112767,113465,114334,115170,116060,116959,117962,119038,119862,120213,120221,120289,120945,121875,122943,123778,124424,125007,125502,126016,125970,125676,125290,125251,125342,125294,125108,124526,123829,123153,122780,122451,121994,121368,120883,120546,120328,119972,119564,118950,118460,118149,118202,118289,118366,118385,118518,118684,118912,118933,118896,118892,118789,118412,117661,116930,116341,115793,115509,115155,114837,114208,113742,113398,113239,113071,113018,112794,112588,112520,112951,113655,114423,115076,115495,115758,115802,115849,115823,115857,116178,116698,117491,118250,119078,119872,120531,121179,121708,122314,122767,123211,123951,125014,126318,127510,128645,129717,130682,131426,131899,132232,132785,133610,134725,135949,137132,138206,139172,140164,141196,142373,143512,144583,145475,146489,147567,148706,149483,150247,150958,151870,152708,153578,154432,155273,156175,157138,158273,159374,160545,161608,162519,163361,164083,164844,165426,166149,167034,168233,169481,170551,171424,172048,172638,173226,173938,174630,175270,175891,176639,177566,178371,178879,179124,179368,179775,180307,180854,181580,182411,183455,184535,185646,186784,187944,188973,189669,190002,190264,190944,192090,193956,196232,198895,201373,203804,206231,208890,211646,214674,217996,221137,223541,225303,226988,229403,232348,236353,240810,245703,250469,254742,258344,260608,261427,261084,260555,260019,258902,257774
5,Phoenix,AZ,111816,112089,112439,113187,114015,114765,115507,116233,117010,117725,118414,119110,119780,120442,121119,121820,122517,123208,123877,124542,125174,125809,126478,127104,127638,128091,128593,129144,129674,130239,130833,131530,132109,132680,133204,133801,134368,134971,135516,136139,136751,137419,138071,138782,139592,140407,141118,141711,142216,142852,143669,144692,145937,147271,0,151320,153463,155587,157655,160308,163266,167077,170950,175363,180180,186587,193936,201315,209086,216044,222855,227306,229672,232940,236972,241716,244539,246230,246569,245688,243932,242989,241737,240600,239196,238373,238034,238236,238519,238149,237043,235246,233109,230794,227583,223981,220159,215546,210656,204784,200218,195852,191332,185634,179800,174790,168715,162175,155906,151801,148326,144884,140922,137465,134461,131948,129593,126748,125122,124214,123976,123044,121897,121331,120766,120175,118323,116424,114007,112249,110482,108739,106590,104621,103273,101908,100583,99098,98312,97935,97847,97855,97819,98390,98973,99897,100776,102450,104944,107906,111241,114724,118608,122293,125607,128343,130830,133143,135640,138566,141964,145427,148717,151767,154651,157401,159612,161286,163009,164818,166560,167673,168358,168716,168987,169340,169813,170193,170705,171340,172185,173077,174191,175573,177336,179148,181033,182902,185027,187257,189527,191724,194234,196685,198562,199712,200627,201645,202741,203777,205140,206579,207995,209262,210519,212009,213714,215429,216969,218440,219851,221277,222655,224042,225229,226471,228167,230230,232248,233743,235266,236852,238735,240446,242034,243336,244581,245727,247145,248801,250325,251476,252183,252960,253658,254646,255822,257475,259515,261755,264681,268188,272296,275870,278235,279457,280420,282144,285285,289362,294201,299356,304745,310353,316251,322435,329228,336836,344620,351873,358164,363985,369790,375304,381253,387827,395833,404609,413512,420947,424990,424923,421163,415948,410121,403926,398898
6,Philadelphia,PA,54913,55026,55136,55380,55752,56118,56503,56762,57055,57355,57671,57977,58237,58483,58753,59090,59389,59643,59901,60203,60526,60795,61076,61339,61591,61837,62128,62438,62776,63136,63590,64042,64553,65079,65613,66092,66558,67095,67644,68222,68765,69425,70184,71023,71873,72609,73300,73941,74581,75276,75828,76346,76954,77951,79338,80951,82412,83541,84500,85657,87087,88271,89484,90643,92195,93851,95793,97905,99969,101766,103332,104659,105721,106614,107330,108203,109196,110561,112026,113174,113913,114171,114282,114499,115019,115631,116174,116375,116753,117180,117688,117814,117504,117291,117311,117523,117471,117577,117536,117599,117287,116839,116074,115209,114463,114025,113592,112925,111909,111023,110564,110603,110788,110837,110742,110571,110534,110487,110523,110334,110371,110560,111023,111535,111945,112201,112048,111473,110324,109123,108093,107325,106624,106097,106059,105953,105610,104729,103716,102741,102131,101832,101675,101495,101151,100664,100305,100468,100721,101021,101144,101243,101201,100696,99939,99332,99036,98846,98928,99463,100565,101763,102346,102586,102661,103140,103775,104483,104803,104699,104304,104331,104930,105701,106466,106738,106733,106496,106542,107112,107685,108245,108690,109510,110550,111416,112298,113349,114408,115199,115639,116388,117330,118446,119008,119334,119732,120409,121379,122536,123974,125772,127583,129338,130578,131610,132575,133672,134692,135781,136812,137906,139015,140467,142349,144345,146008,147400,148807,150249,151251,151701,151886,152377,153326,154664,156158,157885,159962,162121,163872,164826,165333,165884,166683,167718,168832,170166,171804,173624,175533,177549,179709,181733,182786,182584,182127,182235,183670,185829,188832,191859,194681,197265,199906,202418,204827,206741,207300,206204,203619,201507,200237,200169,201939,205329,209817,213919,217270,219782,220545,219784,218475,217651,217246,216484,216524
7,Las Vegas,NV,155078,155053,155307,155899,156677,157357,157852,158317,158880,159526,160286,161052,161852,162721,163657,164581,165575,166494,167429,168326,169243,170173,171029,171946,172818,173567,174417,175353,176424,177238,177920,178512,179040,179781,180743,181898,183075,184249,185501,186743,188196,189619,191222,192896,194947,197222,200061,203033,206419,209768,214768,220110,226958,234071,243515,252464,262618,270324,277188,282068,286188,291918,297730,305674,311112,315126,317112,319870,322106,323797,324717,325477,326438,326953,328999,331693,334945,336430,336941,336547,336136,335309,334017,333153,332095,331446,330697,329188,327164,324238,320576,316917,312845,309129,303281,296712,288381,279385,270282,262675,256479,249509,242060,234296,226403,218939,210809,203662,196403,190883,185624,180254,173734,166843,159912,154339,150108,147547,145837,144287,143497,142741,141989,140743,139498,138896,138346,137746,136781,135942,135584,135079,133863,132048,130141,128329,127171,125680,124606,122989,122086,121386,120894,120434,120278,120227,119877,119341,119313,120556,122485,124682,126886,129077,131556,133816,136354,138939,141874,145225,149343,154291,159348,163865,167873,171391,174400,176363,177592,178916,180304,182039,183725,185880,187885,189294,190202,190627,191490,192139,192975,193633,194563,195724,197249,199252,201357,202998,204285,205305,206659,207893,209154,210324,211318,212549,213685,215022,215903,216247,216562,217114,218258,219576,221290,223631,226348,229152,231547,234108,237038,240366,243775,247056,250093,253205,256053,258872,261655,264502,267476,270479,273830,277249,280378,282940,284960,286433,287562,288757,289921,290924,291175,291401,291534,291895,291973,292043,292321,292949,294252,295644,297220,298414,298819,298683,298627,299537,301221,303436,306469,310045,313721,317418,321321,325722,330532,336071,341798,347269,352018,356559,361665,366829,373339,380734,389132,397135,404419,410686,414255,414433,411112,406286,400736,395222,389830
8,San Diego,CA,206898,207854,208948,211423,214054,217354,221070,225135,229019,232428,235779,238777,241444,244427,248176,252798,257071,260418,262947,265258,267764,270336,272927,275018,277017,278918,281320,284180,287752,291769,296694,302053,307607,313132,318258,323678,328428,332917,337487,342267,347447,351862,357138,362136,368115,373489,378760,379933,383384,389118,398804,407120,415235,427427,440262,452693,462453,471461,478758,484911,488864,492056,496851,503257,510079,513396,514811,515798,516766,517309,517341,517205,518090,517823,517716,516858,517392,516626,514300,510428,506724,503645,501780,499860,498211,496012,491479,486465,481038,477001,472616,469477,465753,462059,457272,453588,448781,442774,435729,430018,423856,417546,410405,403643,395717,388424,381661,377009,373019,370652,369501,366394,364207,360431,360042,358773,359944,361070,364633,368203,371655,373891,376326,379997,381632,381774,379631,377325,374285,370240,366637,364814,363752,362770,360440,358751,356983,355839,354091,350866,347239,344113,342631,341503,341903,342857,344009,344159,344895,347383,349917,353002,356158,360451,365230,370588,376489,382496,387740,393207,399739,407775,414956,421122,426309,431417,434977,437719,439986,442959,445982,449506,452731,455511,456005,455957,456159,458085,460623,463505,466631,469902,472816,475160,477433,479855,481757,483978,486812,491123,495487,499569,503818,507657,510257,511480,512103,513397,514456,515992,517442,520438,524207,529405,534215,538726,541912,545240,548106,551758,554467,558008,561654,566826,571402,576655,581346,585657,588512,590787,593546,595925,597943,599727,601345,603096,604017,603890,603884,604176,605981,608065,609526,610743,611044,612002,612892,614931,617954,621416,624643,628569,633388,638928,641853,642682,643197,646404,653264,662176,673333,684953,696343,707041,718043,731040,746409,762383,776234,784390,788200,791589,797996,808021,824601,847033,874234,898702,917235,927405,928012,920068,907365,895926,887653,880634,873825
9,Dallas,TX,89526,89584,89617,89728,89919,90151,90488,90913,91438,91959,92449,92960,93297,93090,92946,92971,93355,93401,93361,93438,93648,93875,94013,94133,94127,94240,94372,94663,94950,95410,95904,96407,96889,97310,97722,98035,98263,98459,98717,98953,99119,99237,99237,99258,99309,99513,99738,99812,100390,101565,103369,104886,105773,106172,106386,106669,106816,106968,107347,107703,108405,108559,108763,108816,109224,109798,110145,110349,110562,110570,110627,110427,110225,110287,110398,110803,111212,111617,111685,111520,111479,112002,112396,112801,112570,112152,111669,111764,112285,112768,113156,113470,113833,113880,113937,114069,113735,112809,111610,110837,110388,109997,109844,109523,108931,107920,106342,105118,103967,103856,103822,104184,104460,104621,104756,104513,104362,104139,104459,104693,104445,103922,103246,103068,102848,102784,102367,101675,100555,99620,98801,98507,98109,97694,96990,96290,95638,95165,94920,94703,94577,94348,94159,93702,93010,92733,92921,93592,94376,95375,96658,97555,98203,98459,98758,99146,99949,100921,101807,102578,103698,105154,106660,107781,108646,109505,110443,111465,112551,113575,114496,115205,116314,117662,119352,120551,121521,122103,123077,124146,125320,126408,127319,128305,129530,131243,133382,135502,137685,139655,141575,143452,145431,147495,149309,151185,153010,154888,156547,158009,159588,161218,163525,165576,167701,169282,171186,173221,175194,176972,178482,179871,181217,182517,183958,185693,187834,190268,192782,194936,196801,197919,199065,200092,201359,202225,203074,204008,205201,206260,207203,207662,207799,207767,207859,208212,208690,209421,210357,211528,213531,215800,217961,218876,218659,218024,217997,219054,221080,223632,226795,230143,233946,237961,242156,246015,249627,252988,255887,257960,259687,261555,264243,267463,272736,279412,286815,293276,298483,302538,304471,304294,302947,301912,301162,299794,298411
